as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,source
2026-06-18,SILJ,HYMC,Hycroft Mining Holding Corp,US44862P2083,,6277298.0,160510509.86,4.22,USD,,,web_csv
2026-06-18,SILJ,IAUX,i-80 Gold Corp,CA44955L1067,,18662686.0,28367282.72,0.75,USD,,,web_csv
2026-06-18,SILJ,IPT CN,IMPACT Silver Corp,,,6029867.0,1397694.01,0.04,USD,,,web_csv
2026-06-18,SILJ,KGH PW,KGHM Polska Miedz SA,PLKGHM000017,,1997338.0,213910850.77,5.63,USD,,,web_csv
2026-06-18,SILJ,MFRISCOA MF,Minera Frisco SAB de CV,,,208826.0,139699.6,0.0,USD,,,web_csv
2026-06-18,SILJ,MKR AU,Manuka Resources Ltd,,,63130948.0,4104539.99,0.11,USD,,,web_csv
2026-06-18,SILJ,MSV CN,Minco Silver Corp,,,159900.0,46757.72,0.0,USD,,,web_csv
2026-06-18,SILJ,MUX,McEwen Inc,US58039P3055,,1311267.0,25622157.18,0.67,USD,,,web_csv
2026-06-18,SILJ,NEWP,New Pacific Metals Corp,CA64782A1075,,3913020.0,17960761.8,0.47,USD,,,web_csv
2026-06-18,SILJ,OM CN,Osisko Metals Inc,CA6882741094,,16219659.0,21285338.11,0.56,USD,,,web_csv
2026-06-18,SILJ,OR,OR Royalties Inc,CA68390D1069,,3244483.0,116996056.98,3.08,USD,,,web_csv
2026-06-18,SILJ,PAAS,Pan American Silver Corp,CA6979001089,,2189839.0,110499275.94,2.91,USD,,,web_csv
2026-06-18,SILJ,PE&OLES* MM,Industrias Penoles SAB de CV,MXP554091415,,401336.0,19298876.86,0.51,USD,,,web_csv
2026-06-18,SILJ,PEN,PERUVIAN SOL,,,2058.6,609.29,0.0,USD,,,web_csv
2026-06-18,SILJ,PML CN,Panoro Minerals Ltd,,,5286319.0,5466915.73,0.14,USD,,,web_csv
2026-06-18,SILJ,PPTA,Perpetua Resources Corp,CA7142661031,,4890852.0,121782214.8,3.2,USD,,,web_csv
2026-06-18,SILJ,PZG,Paramount Gold Nevada Corp,,,4553669.0,5783159.63,0.15,USD,,,web_csv
2026-06-18,SILJ,RGLD,Royal Gold Inc,US7802871084,,192535.0,42053494.7,1.11,USD,,,web_csv
2026-06-18,SILJ,SA,Seabridge Gold Inc,CA8119271028,,4233643.0,129888167.24,3.42,USD,,,web_csv
2026-06-18,SILJ,SCZ CN,Santacruz Silver Mining Ltd,,,1815503.0,13699466.33,0.36,USD,,,web_csv
2026-06-18,SILJ,SKE CN,Skeena Resources Ltd,CA83056P7157,,2824782.0,85462700.55,2.25,USD,,,web_csv
2026-06-18,SILJ,SM CN,Sierra Madre Gold And Silver Ltd,,,2063944.0,2752710.42,0.07,USD,,,web_csv
2026-06-18,SILJ,SOSI1 FH,Sotkamo Silver AB,,,14316229.0,7748367.55,0.2,USD,,,web_csv
2026-06-18,SILJ,SSRM,SSR Mining Inc,CA7847301032,,5832731.0,185305863.87,4.88,USD,,,web_csv
2026-06-18,SILJ,SVL AU,Silver Mines Ltd,,,75542965.0,7740987.77,0.2,USD,,,web_csv
2026-06-18,SILJ,SVM,Silvercorp Metals Inc,CA82835P1036,,10727041.0,127437247.08,3.35,USD,,,web_csv
2026-06-18,SILJ,SVRS CN,Silver Storm Mining Ltd,,,17412810.0,6147450.93,0.16,USD,,,web_csv
2026-06-18,SILJ,TFPM,Triple Flag Precious Metals Corp,CA89679M1041,,2949574.0,90138981.44,2.37,USD,,,web_csv
2026-06-18,SILJ,TLG CN,Troilus Mining Corp,,,13371436.0,18310503.62,0.48,USD,,,web_csv
2026-06-18,SILJ,TMQ,Trilogy Metals Inc,CA89621C1059,,8379361.0,31757778.19,0.84,USD,,,web_csv
2026-06-18,SILJ,TUD CN,Tudor Gold Corp,,,6548210.0,4109852.93,0.11,USD,,,web_csv
2026-06-18,SILJ,TUO CN,Teuton Resources Corp,,,46355.0,58187.58,0.0,USD,,,web_csv
2026-06-18,SILJ,TV CN,Trevali Mining Corp,,,967999.0,0.0,0.0,USD,,,web_csv
2026-06-18,SILJ,USA CN,Americas Gold & Silver Corp,CA03062D8035,,15011959.0,86938953.77,2.29,USD,,,web_csv
2026-06-18,SILJ,VGC CN,Valor Gold Corp,CA9199211066,,2163321.56,6233377.86,0.16,USD,,,web_csv
2026-06-18,SILJ,VOLCABC1 PE,Volcan Cia Minera SAA,,,14488014.0,3837799.31,0.1,USD,,,web_csv
2026-06-18,SILJ,VZLA,Vizsla Silver Corp,CA92859G6085,,25691653.0,91976117.74,2.42,USD,,,web_csv
2026-06-18,SILJ,WAM CN,Alaska Silver Corp,,,1193299.0,561712.67,0.01,USD,,,web_csv
2026-06-18,SILJ,WPM,Wheaton Precious Metals Corp,CA9628791027,,1347830.0,169624405.5,4.46,USD,,,web_csv
2026-06-18,SILJ,WRN,Western Copper & Gold Corp,,,8466144.0,21419344.32,0.56,USD,,,web_csv
2026-06-18,SILJ,WVM CN,West Vault Mining Inc,,,18611.0,22299.75,0.0,USD,,,web_csv
