as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,asset_class,instrument_type,source
2026-06-17,URA,047040 KS,DAEWOO ENGINEERING & CONSTR,,6344122,13242249.0,217057353.07,3.29,USD,,,,equity,web_csv
2026-06-17,URA,052690 KS,KEPCO ENGINEERING & CONSTRUC,,B4LW1M1,1204167.0,107682614.08,1.63,USD,,,,equity,web_csv
2026-06-17,URA,1164 HK,CGN MINING CO LTD,,B755514,172359700.0,66873443.01,1.01,USD,,,,equity,web_csv
2026-06-17,URA,7011 JP,MITSUBISHI HEAVY INDUSTRIES,,6597067,4810144.0,115809485.98,1.75,USD,,,,equity,web_csv
2026-06-17,URA,8001 JP,ITOCHU CORP,,6467803,10989823.0,127531986.22,1.93,USD,,,,equity,web_csv
2026-06-17,URA,AEC CN,ANFIELD ENERGY INC,,BRT7VZ2,665795.0,2991590.11,0.04,USD,,,,equity,web_csv
2026-06-17,URA,AEE AU,AURA ENERGY LTD,,B14Z2S9,48279526.0,3923694.54,0.06,USD,,,,equity,web_csv
2026-06-17,URA,AEU AU,ATOMIC EAGLE LTD,,BSQM0M7,13840936.0,4695058.96,0.07,USD,,,,equity,web_csv
2026-06-17,URA,AGE AU,ALLIGATOR ENERGY LTD,,B55ZH25,261092401.0,9594711.67,0.14,USD,,,,equity,web_csv
2026-06-17,URA,ARE CN,AECON GROUP INC,,2699547,4009201.0,124813938.84,1.89,USD,,,,equity,web_csv
2026-06-17,URA,ASN AU,ANSON RESOURCES LTD,,BD8PFL3,72823731.0,2521757.71,0.04,USD,,,,equity,web_csv
2026-06-17,URA,BHP AU,BHP GROUP LTD,AU000000BHP4,6144690,4403094.0,204093860.53,3.09,USD,,,,equity,web_csv
2026-06-17,URA,BKY SM,BERKELEY ENERGIA LTD,,BYVQC08,28958588.0,9565043.26,0.14,USD,,,,equity,web_csv
2026-06-17,URA,BMN AU,BANNERMAN ENERGY LTD,,B07DXJ1,12009054.0,30043215.45,0.46,USD,,,,equity,web_csv
2026-06-17,URA,BOE AU,BOSS ENERGY LTD,,B1XLCQ6,25386817.0,22695153.82,0.34,USD,,,,equity,web_csv
2026-06-17,URA,CCO CN,CAMECO CORP,,2166160,14486477.0,1542565449.04,23.35,USD,,,,equity,web_csv
2026-06-17,URA,CVV CN,CANALASKA URANIUM LTD,,BR1YTV3,13168537.0,4883845.12,0.07,USD,,,,equity,web_csv
2026-06-17,URA,DML CN,DENISON MINES CORP,,2003223,57811093.0,193377095.91,2.93,USD,,,,equity,web_csv
2026-06-17,URA,DYL AU,DEEP YELLOW LTD,,6480275,58675617.0,69248199.96,1.05,USD,,,,equity,web_csv
2026-06-17,URA,EFR CN,ENERGY FUELS INC,,BFV4XV7,15094113.0,232747110.09,3.52,USD,,,,equity,web_csv
2026-06-17,URA,EL8 AU,ELEVATE URANIUM LTD,,BM8ZH21,26016050.0,4872160.48,0.07,USD,,,,equity,web_csv
2026-06-17,URA,EU CN,ENCORE ENERGY CORP,,BN48958,11713971.0,19215557.59,0.29,USD,,,,equity,web_csv
2026-06-17,URA,FSY CN,FORSYS METALS CORP,,2597801,9968986.0,3448369.03,0.05,USD,,,,equity,web_csv
2026-06-17,URA,FUU CN,F3 URANIUM CORP,,BMW5VG9,39084230.0,4320701.55,0.07,USD,,,,equity,web_csv
