as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,asset_class,instrument_type,source
2026-06-17,XME,UAMY,UNITED STATES ANTIMONY CORP,US9115491030,2910668,5456702.0,,0.854326,USD,,,,equity,web_csv
2026-06-17,XME,UEC,URANIUM ENERGY CORP,,B0VLLY2,14426235.0,,3.367314,USD,,,,equity,web_csv
2026-06-17,XME,URG,UR ENERGY INC,,B0WW4L2,19899871.0,,0.630444,USD,,,,equity,web_csv
2026-06-17,XME,USAR,USA RARE EARTH INC,US91733P1075,BSBGKF7,8321996.0,,4.005741,USD,,,,equity,web_csv
2026-06-17,XME,WS,WORTHINGTON STEEL INC,US9821041012,BS70KN1,1029551.0,,0.824894,USD,,,,equity,web_csv
2026-06-17,XME,,SSI US GOV MONEY MARKET CLASS,CASH,,703976.44,,0.014389,USD,,,,cash,web_csv
2026-06-17,XME,,US DOLLAR,CASH,,286750.46,,0.005861,USD,,,,fx,web_csv
2026-06-18,XME,UEC,URANIUM ENERGY CORP,,B0VLLY2,19846147.0,,4.923743,USD,,,,equity,web_csv
2026-06-18,XME,,US DOLLAR,,,237894537.71,,4.914288,USD,,,,fx,web_csv
2026-06-18,XME,LEU,CENTRUS ENERGY CORP CLASS A,,BQXKDH6,1217099.0,,4.811952,USD,,,,equity,web_csv
2026-06-18,XME,USAR,USA RARE EARTH INC,US91733P1075,BSBGKF7,9195804.0,,4.680654,USD,,,,equity,web_csv
2026-06-18,XME,MP,MP MATERIALS CORP,US5533681012,BN15Y35,3497674.0,,4.398758,USD,,,,equity,web_csv
2026-06-18,XME,CDE,COEUR MINING INC,US1921085049,2208136,12131778.0,,4.388203,USD,,,,equity,web_csv
2026-06-18,XME,HL,HECLA MINING CO,US4227041062,2418601,13306100.0,,4.386921,USD,,,,equity,web_csv
2026-06-18,XME,NEM,NEWMONT CORP,US6516391066,2636607,2015206.0,,4.32067,USD,,,,equity,web_csv
2026-06-18,XME,FCX,FREEPORT MCMORAN INC,US35671D8570,2352118,3011448.0,,4.272497,USD,,,,equity,web_csv
2026-06-18,XME,RGLD,ROYAL GOLD INC,US7802871084,2755706,948651.0,,4.20976,USD,,,,equity,web_csv
2026-06-18,XME,RS,RELIANCE INC,US7595091023,2729068,474145.0,,3.881997,USD,,,,equity,web_csv
2026-06-18,XME,CLF,CLEVELAND CLIFFS INC,US1858991011,BYVZ186,15064521.0,,3.821464,USD,,,,equity,web_csv
2026-06-18,XME,CMC,COMMERCIAL METALS CO,US2017231034,2213260,2541127.0,,3.798403,USD,,,,equity,web_csv
2026-06-18,XME,NUE,NUCOR CORP,US6703461052,2651086,746340.0,,3.759239,USD,,,,equity,web_csv
2026-06-18,XME,HCC,WARRIOR MET COAL INC,US93627C1018,BF2X272,1963149.0,,3.673345,USD,,,,equity,web_csv
2026-06-18,XME,STLD,STEEL DYNAMICS INC,US8581191009,2849472,696693.0,,3.596675,USD,,,,equity,web_csv
2026-06-18,XME,MTRN,MATERION CORP,US5766901012,2149622,630410.0,,3.580967,USD,,,,equity,web_csv
2026-06-18,XME,CNR,CORE NATURAL RESOURCES INC,,BR1Z682,2048101.0,,3.53572,USD,,,,equity,web_csv
2026-06-18,XME,AA,ALCOA CORP,US0138721065,BYNF418,2852032.0,,3.497821,USD,,,,equity,web_csv
2026-06-18,XME,CENX,CENTURY ALUMINUM COMPANY,US1564311082,2186254,3166509.0,,3.38245,USD,,,,equity,web_csv
