as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,asset_class,instrument_type,source
2026-06-22,LIT,300750 C2,CONTEMPORARY AMPEREX TECHN-A,,BHQPSY7,1130665.0,68232632.2,3.63,USD,,,,equity,web_csv
2026-06-22,LIT,373220 KS,LG ENERGY SOLUTION,,BNSP8W5,246843.0,61903445.55,3.3,USD,,,,equity,web_csv
2026-06-22,LIT,PLS AU,PLS GROUP LTD,AU000000PLS0,B2368L5,15331980.0,59439193.93,3.17,USD,,,,equity,web_csv
2026-06-22,LIT,002460 C2,GANFENG LITHIUM GROUP CO L-A,,BD5CB19,5561832.0,59130010.71,3.15,USD,,,,equity,web_csv
2026-06-22,LIT,SQM,QUIMICA Y MINERA CHIL-SP ADR,US8336351056,2771122,742776.0,58419332.4,3.11,USD,,,,equity,web_csv
2026-06-22,LIT,002709 C2,GUANGZHOU TINCI MATERIALS -A,,BD5LR63,6558785.0,54118613.74,2.88,USD,,,,equity,web_csv
2026-06-22,LIT,1211 HK,BYD CO LTD-H,SA123GA0ITH7,6536651,5200221.0,51966393.98,2.77,USD,,,,equity,web_csv
2026-06-22,LIT,002466 C2,TIANQI LITHIUM CORP-A,,BD5CKH8,5040093.0,48317841.29,2.57,USD,,,,equity,web_csv
2026-06-22,LIT,ENS,ENERSYS,,B020GQ5,190243.0,44315204.42,2.36,USD,,,,equity,web_csv
2026-06-22,LIT,MIN AU,MINERAL RESOURCES LTD,AU000000MIN4,B17ZL56,887478.0,41455002.45,2.21,USD,,,,equity,web_csv
2026-06-22,LIT,300450 C2,WUXI LEAD INTELLIGENT EQUI-A,,BD6QWJ5,5416710.0,37845275.78,2.02,USD,,,,equity,web_csv
2026-06-22,LIT,247540 KS,ECOPRO BM CO LTD,,BJ321P7,276564.0,29991685.4,1.6,USD,,,,equity,web_csv
2026-06-22,LIT,002812 C2,YUNNAN ENERGY NEW MATERIAL-A,,BFCCR30,2812059.0,29896098.77,1.59,USD,,,,equity,web_csv
2026-06-22,LIT,002738 C2,SINOMINE RESOURCE GROUP CO-A,CNE100001WV3,BNR4M32,3077256.0,28533556.69,1.52,USD,,,,equity,web_csv
2026-06-22,LIT,603659 C1,SHANGHAI PUTAILAI NEW ENERGY,,BF2DZJ5,4952828.0,22582282.27,1.2,USD,,,,equity,web_csv
2026-06-22,LIT,300207 C2,SUNWODA ELECTRONIC CO LTD-A,,BD5CCV6,6901691.0,21650846.33,1.15,USD,,,,equity,web_csv
2026-06-22,LIT,IGO AU,IGO LTD,AU000000IGO4,6439567,3518125.0,19583093.81,1.04,USD,,,,equity,web_csv
2026-06-22,LIT,LTR AU,LIONTOWN LTD,AU000000LTR4,B1J89V5,10658145.0,14196613.57,0.76,USD,,,,equity,web_csv
2026-06-22,LIT,066970 KS,L&F CO LTD,,6578608,148933.0,12178557.18,0.65,USD,,,,equity,web_csv
2026-06-22,LIT,002176 C2,JIANGXI SPECIAL ELECTRIC -A,,BD5CC72,7070540.0,11747543.99,0.63,USD,,,,equity,web_csv
2026-06-22,LIT,,CHINESE YUAN RENMINBI,,,62999571.37,9295948.32,0.49,USD,,,,fx,web_csv
2026-06-22,LIT,AMG NA,AMG CRITICAL MATERIALS N.V.,NL0000888691,B1Z95S1,179801.0,7523691.57,0.4,USD,,,,equity,web_csv
